level,estimate,stderror,tvalue,pvalue
intercept,4.69,0.227,20.637,0
family,0,,,
state,1.142,0.286,4.002,0
city,0.737,0.297,2.485,0.013
workplace,0.203,0.291,0.699,0.485
country,1.518,0.282,5.379,0
InducedDisclosure,0,,,0
Insecurity,-0.453,0.05,-8.995,0
Surveillance,-0.266,0.05,-5.287,0
AgeRange,0,,,
CreditCardNumber,-2.137,0.184,-11.631,0
DateOfBirth,0.053,0.376,0.141,0.887
Diseases,-1.836,0.376,-4.876,0
DriversLicenseInformation,-2.402,0.184,-13.073,0
EmailAddress,-0.419,0.376,-1.113,0.266
FullName,-0.889,0.184,-4.838,0
HomeAddress,-1.291,0.184,-7.025,0
HomeState,1.137,0.376,3.019,0.003
MedicalProcedure,-1.697,0.376,-4.507,0
PhoneNumber,-1.581,0.184,-8.607,0
SSN,-2.808,0.376,-7.459,0
condv1,0.552,0.112,4.932,0
